match_id,prompt
64,"Akali, Alex, CoreJJ, Doublelift, Gangplank, Gragas, Impact, Irelia, Jarvan IV, Jensen, Kaisa, Kayle, Kled, LeBlanc, Nautilus, Orianna, Pantheon, Qiyana, Rainbow, Rakan, Renekton, Rumble, Sylas, Syndra, Team Liquid, Wako, Xayah, Xmithie, Ysera, Ziv, ahq e-Sports Club"
65,"Akali, Baolan, BeryL, Canyon, DAMWON Gaming, Ezreal, Galio, Gragas, Invictus Gaming, Irelia, JackeyLove, Jayce, Kaisa, Kayle, LeBlanc, Lee Sin, Leyan, Lucian, Morgana, Nautilus, Nuclear, Nuguri, Pantheon, Poppy, Qiyana, Renekton, RooKie, ShowMaker, Syndra, Taliyah, TheShy, Yasuo"
66,"3z, Akali, Cloud9, Crash, Elise, Garen, Gragas, Heimerdinger, Hong Kong Attitude, Irelia, Kaisa, Kaiwing, Licorice, Mission, Nautilus, Nisqy, Pantheon, Pyke, Qiyana, Quinn, RekSai, Renekton, Sneaky, Svenskeren, Syndra, Tristana, Twisted Fate, Unified, Veigar, Xayah, Yuumi, Zeyzal"
67,"Caps, Chovy, Elise, Ezreal, G2 Esports, Gangplank, Griffin, Irelia, Jankos, Kaisa, Kayle, Lehends, Leona, Lucian, Mikyx, Nautilus, Orianna, Ornn, Pantheon, Perkz, Qiyana, Quinn, Rakan, Renekton, Sw0rd, Syndra, Taliyah, Tarzan, Twisted Fate, Viper, Wunder, Xayah"
68,"Akali, Alex, BeryL, Camille, Canyon, DAMWON Gaming, Gragas, Irelia, Jarvan IV, Kaisa, Kayle, LeBlanc, Lee Sin, Leona, Nuclear, Nuguri, Pantheon, Qiyana, Rainbow, Rakan, RekSai, Renekton, Rumble, ShowMaker, Syndra, Twisted Fate, Vladimir, Wako, Xayah, Ysera, Ziv, ahq e-Sports Club"
69,"Akali, Baolan, CoreJJ, Doublelift, Fiddlesticks, Fiora, Galio, Gangplank, Gragas, Impact, Invictus Gaming, JackeyLove, Jarvan IV, Jayce, Jensen, Kaisa, Kayle, Kled, LeBlanc, Leyan, Olaf, Orianna, Pantheon, Qiyana, Rakan, RooKie, Syndra, Team Liquid, TheShy, Vladimir, Xayah, Xmithie"
70,"Akali, Bard, Broxah, Bwipo, Clutch Gaming, Cody Sun, Damonte, Elise, Fnatic, Gangplank, Garen, Huni, Hylissang, Kayle, LeBlanc, Lee Sin, Lira, Lucian, Nemesis, Orianna, Pantheon, Qiyana, Rakan, Rekkles, Rumble, Shen, Syndra, Tristana, Twisted Fate, Vayne, Vulcan, Yuumi"
71,"Akali, Blitzcrank, Clid, Effort, Elise, Ezreal, Faker, Gangplank, Gragas, Kalista, Karma, Karsa, Kayle, Khan, Langx, LeBlanc, Lee Sin, Ming, Mordekaiser, Morgana, Pantheon, Renekton, Royal Never Give Up, Ryze, SK Telecom T1, Teddy, Thresh, Twisted Fate, Uzi, Xayah, Zoe, xiaohu"
72,"Akali, Cassiopeia, Ezreal, GAM Esports, Gangplank, Gragas, Hieu3, Humanoid, Kaisa, KhaZix, Kiaya, Kobbe, LeBlanc, Lee Sin, Levi, Nautilus, Nocturne, Olaf, Pantheon, Pyke, Qiyana, RekSai, Splyce, Syndra, Tore, Tristana, Vizicsacsi, Xayah, Xerxe, Yuumi, ZerosS, Zin"
73,"Aatrox, Akali, Crisp, Doinb, Elise, FoFo, Funplus Phoenix, Galio, Gangplank, GimGoon, Gnar, Hana, J Team, Jarvan IV, Kaisa, Kayle, Koala, LilV, Lucian, Lwx, Mordekaiser, Nautilus, Pantheon, Qiyana, Renekton, Rest, Ryze, Sion, Syndra, Tian, Tristana, Xayah"
74,"Aatrox, Alistar, BeryL, Canyon, CoreJJ, DAMWON Gaming, Doublelift, Galio, Gragas, Heimerdinger, Impact, Jarvan IV, Jensen, Kaisa, Kayle, Kled, LeBlanc, Lee Sin, Morgana, Nuclear, Nuguri, Pantheon, Renekton, ShowMaker, Syndra, Team Liquid, Veigar, Vladimir, Xayah, Xmithie, Yasuo, Yuumi"
75,"Akali, Alex, Alistar, Baolan, Ezreal, Gangplank, Gnar, Gragas, Invictus Gaming, JackeyLove, Jarvan IV, Jayce, Kaisa, Kayle, LeBlanc, Lee Sin, Leyan, Morgana, Nautilus, Pantheon, Qiyana, Rainbow, Renekton, RooKie, Ryze, Syndra, TheShy, Vladimir, Wako, Ysera, Ziv, ahq e-Sports Club"
76,"Alistar, Blitzcrank, Clutch Gaming, Cody Sun, Damonte, Elise, Gnar, Huni, Jarvan IV, Kaisa, Karsa, Kayle, Langx, Lee Sin, Leona, Lira, Lucian, Ming, Morgana, Nocturne, Pantheon, Qiyana, Rakan, RekSai, Renekton, Royal Never Give Up, Rumble, Syndra, Uzi, Vulcan, Xayah, xiaohu"
77,"Akali, Broxah, Bwipo, Clid, Effort, Elise, Faker, Fnatic, Gangplank, Garen, Gragas, Hylissang, Kayle, Khan, Lee Sin, Nautilus, Nemesis, Pantheon, Qiyana, Rakan, RekSai, Rekkles, Renekton, Ryze, SK Telecom T1, Sylas, Syndra, Teddy, Tristana, Twisted Fate, Vayne, Yuumi"
